Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun003.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	3	-0.633259	0.357067	47.254860	-54.246651	28.092288	-53.941465	-0.016568	-0.034300	0.021323	0.042952	0.000000	0.010755	-0.021363	0.021424	-0.010654	0.000000	0.000000	0.012452	-0.025242	-0.052542	-0.002100	0.002541	0.000837	0.001626	-0.000833	0.002541	-0.003268	-0.003331	0.000833	-0.001673	0.001658	1.221534	-1.743340	10.003937	-1.972180	-6.997138	-0.110271	-1.742589	-0.116248	1.086138	1.272448	1.557094	-2.410857	-2.931778	-2.869797	-4.370778	0.000000
1.000000	3	-0.640889	0.376904	47.249519	-54.216132	28.065584	-53.910947	0.000000	0.000000	0.000000	0.021476	0.032182	0.010755	-0.010681	0.000000	-0.010654	-0.004105	0.008319	0.012452	0.050485	-0.052542	0.000000	0.002541	0.000837	0.002439	-0.000833	0.002541	-0.004085	-0.003331	0.000000	0.002510	0.000829	2.728617	1.308205	2.375073	-4.986346	-3.945592	-3.161816	2.778660	1.409525	1.086138	-1.779098	0.050011	-2.410857	-2.931778	-1.344024	-4.370778	0.000000
2.000000	3	-0.640889	0.337230	47.249519	-54.246651	28.092288	-53.941465	-0.049705	0.000000	-0.042647	0.042952	0.000000	0.010755	-0.021363	0.021424	-0.021308	0.004105	0.012479	0.012452	0.025242	-0.052542	0.000000	0.002541	0.002510	0.000813	0.001666	0.002541	-0.002451	-0.002499	0.000000	0.000837	-0.000829	-1.792632	2.833978	2.375073	-1.972180	-3.945592	2.941275	4.285743	2.935297	-1.928028	-1.779098	-2.964155	-5.462403	0.082388	-1.344024	1.624754	0.000000
3.000000	3	-0.625629	0.337230	47.265542	-54.216132	28.076266	-53.941465	0.000000	-0.068600	0.021323	0.042952	0.010727	0.000000	-0.010681	0.010712	0.000000	0.000000	0.004160	0.012452	0.025242	-0.078814	-0.004199	0.001694	0.000837	0.001626	0.000000	0.004234	-0.003268	-0.002499	0.000833	0.000837	0.000829	-6.313880	-3.269113	10.003937	-3.479263	-2.419820	-3.161816	1.271577	1.409525	-3.435111	-3.304871	1.557094	-5.462403	-8.960109	-1.344024	-4.370778	0.000000
4.000000	3	-0.640889	0.396741	47.260201	-54.231391	28.086947	-53.956725	-0.033136	0.000000	0.021323	0.021476	0.021455	0.010755	-0.021363	0.000000	-0.010654	0.000000	0.000000	0.004151	0.025242	-0.026271	0.000000	0.002541	0.002510	-0.000813	0.000000	0.001694	-0.002451	-0.001666	0.001666	-0.001673	-0.000829	1.221534	5.885524	3.900846	-6.493428	2.157499	1.415502	2.778660	-3.167794	1.086138	-1.779098	-1.457072	2.166462	-1.424695	-2.869797	-1.373012	0.000000
5.000000	3	-0.633259	0.337230	47.249519	-54.246651	28.070925	-53.910947	-0.033136	-0.068600	0.042647	-0.021476	0.021455	0.000000	-0.021363	0.032136	0.000000	0.008209	0.000000	0.008301	-0.050485	-0.105085	0.000000	0.000000	0.002510	0.000813	0.000833	0.002541	-0.000817	0.000000	0.002499	-0.001673	0.002488	-0.285549	-4.794886	8.478164	-4.986346	-2.419820	-3.161816	1.271577	2.935297	-3.435111	-1.779098	-1.457072	-5.462403	-4.438861	1.707522	-2.871895	0.000000
6.000000	3	-0.625629	0.396741	47.249519	-54.246651	28.081606	-53.941465	-0.049705	0.068600	0.000000	0.000000	0.021455	0.010755	-0.021363	0.010712	0.000000	0.000000	0.012479	0.004151	0.025242	-0.078814	0.000000	0.001694	0.000837	0.000813	-0.000833	0.002541	-0.000817	0.000000	0.001666	0.000000	-0.000829	1.221534	1.308205	6.952392	-4.986346	-3.945592	1.415502	2.778660	-3.167794	-6.449276	1.272448	0.050011	-5.462403	-1.424695	-4.395569	0.125871	0.000000
7.000000	3	-0.640889	0.317392	47.254860	-54.200873	28.092288	-53.926206	0.016568	0.000000	0.000000	0.021476	0.000000	0.010755	-0.032044	-0.010712	0.010654	0.000000	0.000000	0.008301	0.025242	-0.078814	-0.006299	0.001694	0.000837	-0.000813	-0.001666	0.002541	-0.001634	0.000000	0.001666	0.000837	0.000000	-1.792632	-1.743340	0.849300	-8.000511	-5.471365	1.415502	1.271577	4.461070	-0.420945	-4.830644	-4.471238	-5.462403	-2.931778	-4.395569	0.125871	0.000000
