Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun018.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	18	17.059847	47.067934	-54.261910	29.261910	-53.895688	0.165682	-27.291177	-0.078917	0.023072	-0.001552	-0.268014	-0.344739	-0.343351	-0.417329	-0.368042	-0.178075	-0.088182	-0.079654	2.071312	-0.697163	0.192403	-0.186909	0.058259	0.006136	-0.002667	-0.000443	0.391922	-0.015827	0.095291	0.439700	0.113124	4477.493094	1035.147460	49993.289454	2308.038508	-49997.181400	1706.097173	49382.136475	-483.896494	-49384.647344	2579.265398	-492.077288	1928.007730	1240.879612	-743.957361	-49115.446240	0.679951
1.000000	18	17.059847	47.057253	-54.261910	29.251228	-53.910947	0.165682	-27.291177	-0.113216	0.044395	-0.023028	-0.278741	-0.366249	-0.332670	-0.428041	-0.389350	-0.182180	-0.092341	-0.079654	2.096555	-0.644620	0.192403	-0.186909	0.059095	0.009388	-0.002667	0.000404	0.391105	-0.014162	0.094459	0.439700	0.113953	4479.000177	1038.199005	49993.289454	2308.038508	-49997.181400	1704.571400	49382.136475	-482.370721	-49384.647344	2580.791171	-498.105620	1923.430411	1242.386695	-740.905816	-49115.446240	0.679951
2.000000	18	17.139195	47.067934	-54.200873	29.272591	-53.910947	0.149114	-27.291177	-0.044617	0.065719	-0.044504	-0.268014	-0.355494	-0.332670	-0.428041	-0.368042	-0.178075	-0.088182	-0.075504	2.046070	-0.644620	0.190303	-0.187756	0.057422	0.008575	-0.001834	-0.002137	0.391105	-0.016660	0.096124	0.440537	0.112295	4480.507260	1036.673233	49993.289454	2317.081005	-49997.181400	1704.571400	49382.136475	-482.370721	-49384.647344	2582.316944	-493.584371	1921.904638	1246.907943	-742.431588	-49115.446240	0.679951
3.000000	18	17.972350	47.067934	-54.368725	29.267251	-54.002503	0.165682	-27.176733	-0.078917	0.044395	-0.065980	-0.235832	-0.312475	-0.300625	-0.417329	-0.378696	-0.186285	-0.084022	-0.071353	2.121797	-0.618349	0.192403	-0.186909	0.057422	0.010201	-0.001001	-0.000443	0.392739	-0.015827	0.096124	0.443046	0.113953	4472.971845	1044.302097	49993.289454	2311.052673	-49997.181400	1703.045628	49382.136475	-486.948040	-49384.647344	2580.791171	-501.119785	1920.378865	1233.344197	-740.905816	-49115.446240	0.679951
4.000000	18	19.281594	47.067934	-54.353465	29.277932	-54.017762	0.414205	-26.917325	0.161182	0.278952	0.148779	-0.128559	-0.247947	-0.204492	-0.395905	-0.357388	-0.157551	-0.079862	-0.071353	2.449949	-0.303094	0.192403	-0.186909	0.056585	0.008575	-0.001834	-0.001290	0.395190	-0.014995	0.096957	0.443046	0.113953	4479.000177	1070.240236	49993.289454	2308.038508	-49997.181400	1695.416763	49382.136475	-499.154223	-49384.647344	2573.162307	-508.655200	1909.698455	1234.851280	-756.163544	-49115.446240	0.679951
5.000000	18	19.876705	47.067934	-54.353465	29.272591	-53.941465	0.629591	-26.635029	0.298381	0.385568	0.299110	-0.010560	-0.129645	-0.151084	-0.320921	-0.282810	-0.141133	-0.063224	-0.058902	2.727616	0.012161	0.192403	-0.178440	0.059095	0.019957	-0.000168	-0.002137	0.392739	-0.016660	0.096957	0.442210	0.113953	4472.971845	1087.023738	49993.289454	2303.517259	-49997.181400	1689.313672	49382.136475	-502.205768	-49384.647344	2571.636534	-513.176448	1905.121136	1234.851280	-759.215090	-49115.446240	0.679951
6.000000	18	20.491653	47.099979	-54.338206	29.277932	-53.941465	0.828410	-26.398511	0.401280	0.534831	0.406490	0.085986	-0.075871	-0.065633	-0.256649	-0.282810	-0.132923	-0.071543	-0.038149	2.828586	0.222331	0.194503	-0.177594	0.058259	0.019957	-0.001001	0.001250	0.391105	-0.016660	0.096124	0.440537	0.114783	4474.478928	1103.807239	49993.289454	2291.460596	-49997.181400	1675.581716	49382.136475	-511.360406	-49384.647344	2571.636534	-519.204780	1897.492272	1237.865446	-772.947046	-49115.446240	0.679951
7.000000	18	21.126438	47.099979	-54.338206	29.277932	-53.926206	1.043796	-26.139103	0.607078	0.641447	0.556821	0.203985	0.020921	-0.012225	-0.213801	-0.250848	-0.120609	-0.059064	-0.033999	3.282951	0.485043	0.192403	-0.175900	0.059095	0.023209	-0.001834	-0.000443	0.391105	-0.044144	0.096957	0.439700	0.113953	4486.535591	1122.116514	49993.289454	2282.418099	-49997.181400	1671.004397	49382.136475	-517.463497	-49384.647344	2574.688080	-529.754360	1891.389180	1231.837115	-777.524365	-49115.446240	0.679951
8.000000	18	21.761223	47.116001	-54.338206	29.272591	-53.926206	1.242615	-25.887326	0.812877	0.812034	0.642724	0.311258	0.128469	0.051864	-0.128105	-0.197578	-0.083666	-0.054904	-0.021547	3.510133	0.721485	0.192403	-0.170818	0.059932	0.023209	-0.001834	-0.001290	0.394373	-0.044144	0.094459	0.439700	0.113124	4486.535591	1134.322697	49993.289454	2276.389768	-49997.181400	1661.849760	49382.136475	-525.092362	-49384.647344	2571.636534	-535.782691	1885.286089	1233.344197	-789.730548	-49115.446240	0.679951
9.000000	18	22.157964	47.126682	-54.399243	29.277932	-53.956725	1.424865	-25.658437	0.984376	0.939973	0.728628	0.375622	0.192997	0.105271	-0.117393	-0.176270	-0.071352	-0.042425	-0.004945	3.737315	0.984197	0.190303	-0.168278	0.072484	0.026461	-0.000168	0.000404	0.391922	-0.043311	0.046153	0.442210	0.112295	4492.563922	1143.477334	49993.289454	2273.375602	-49997.181400	1651.169350	49382.136475	-528.143907	-49384.647344	2568.584988	-537.289774	1877.657224	1231.837115	-797.359412	-49115.446240	0.679951
