Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun024.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	24	62.169256	54.539628	-54.216132	30.346080	-54.017762	0.331364	-25.528733	-0.113216	-0.382070	-0.624352	-0.868740	-0.936249	-0.824018	-0.749400	-0.431966	0.363750	0.960056	2.734397	6.387774	-3.481915	0.391872	-1.819711	-0.104084	0.230527	0.163131	0.121509	151.238203	4.387774	-0.514705	-0.291984	0.159469	-0.042763	-49384.141066	-49995.852327	49993.289454	2362.293490	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2466.358205	-49384.859274	-49998.620738	965.083449	49995.619805	-49115.446240	0.679951
1.000000	24	62.169256	54.539628	-54.216132	30.330058	-54.033021	0.298227	-25.513474	-0.216116	-0.403394	-0.624352	-0.890195	-0.979268	-0.824018	-0.749400	-0.400004	0.371960	0.951736	2.734397	6.362532	-3.508186	0.387673	-1.818017	-0.104921	0.229714	0.163964	0.123202	151.264132	4.386957	-0.512206	-0.291984	0.161142	-0.041934	-49384.141066	-49995.852327	49993.289454	2363.800573	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2461.780886	-49384.859274	-49998.620738	971.111781	49995.619805	-49115.446240	0.679951
2.000000	24	62.169256	54.539628	-54.231391	30.330058	-53.987243	0.298227	-25.521104	-0.181816	-0.403394	-0.645828	-0.868740	-0.979268	-0.781292	-0.727976	-0.431966	0.367855	0.947577	2.734397	6.413017	-3.534458	0.387673	-1.818864	-0.103247	0.230527	0.163131	0.123202	151.255489	4.387774	-0.515537	-0.293650	0.159469	-0.042763	-49384.141066	-49995.852327	49993.289454	2363.800573	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2461.780886	-49384.859274	-49998.620738	966.590532	49995.619805	-49115.446240	0.679951
3.000000	24	62.189093	54.544969	-54.200873	30.330058	-54.002503	0.281659	-25.543992	-0.319015	-0.446040	-0.624352	-0.868740	-0.968513	-0.802655	-0.749400	-0.421312	0.359646	0.943417	2.734397	6.337290	-3.508186	0.389772	-1.818864	-0.105758	0.231340	0.163964	0.123202	151.264132	4.386957	-0.513872	-0.294482	0.161142	-0.045251	-49384.141066	-49995.852327	49993.289454	2360.786407	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2460.255113	-49384.859274	-49998.620738	969.604698	49995.619805	-49115.446240	0.679951
4.000000	24	62.129582	54.555651	-54.216132	30.319376	-53.987243	0.314796	-25.521104	-0.181816	-0.424717	-0.602876	-0.890195	-0.957758	-0.791973	-0.738688	-0.400004	0.367855	0.935098	2.734397	6.438259	-3.508186	0.385573	-1.819711	-0.104921	0.232153	0.163131	0.121509	151.246846	4.387774	-0.514705	-0.291151	0.159469	-0.042763	-49384.141066	-49995.852327	49993.289454	2360.786407	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2466.358205	-49384.859274	-49998.620738	968.097615	49995.619805	-49115.446240	0.679951
5.000000	24	62.169256	54.544969	-54.200873	30.335398	-53.987243	0.298227	-25.528733	-0.147516	-0.424717	-0.624352	-0.879467	-0.957758	-0.824018	-0.738688	-0.431966	0.363750	0.951736	2.742698	6.337290	-3.560729	0.391872	-1.818864	-0.104084	0.229714	0.163131	0.122356	151.246846	4.386140	-0.513872	-0.291984	0.159469	-0.043592	-49384.141066	-49995.852327	49993.289454	2366.814739	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2463.306659	-49384.859274	-49998.620738	972.618863	49995.619805	-49115.446240	0.679951
6.000000	24	62.149419	54.555651	-54.185614	30.324717	-53.956725	0.314796	-25.528733	-0.216116	-0.424717	-0.602876	-0.890195	-0.936249	-0.802655	-0.727976	-0.421312	0.359646	0.943417	2.734397	6.387774	-3.481915	0.389772	-1.817170	-0.104084	0.231340	0.163131	0.122356	151.246846	4.386957	-0.513039	-0.291984	0.159469	-0.043592	-49384.141066	-49995.852327	49993.289454	2357.772242	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2463.306659	-49384.859274	-49998.620738	971.111781	49995.619805	-49115.446240	0.679951
7.000000	24	62.109745	54.560991	-54.170354	30.335398	-53.987243	0.331364	-25.513474	-0.181816	-0.467363	-0.645828	-0.858013	-0.957758	-0.813336	-0.727976	-0.421312	0.363750	0.943417	2.738547	6.413017	-3.455644	0.387673	-1.817170	-0.103247	0.230527	0.163131	0.121509	151.246846	4.387774	-0.513039	-0.296148	0.160305	-0.041934	-49384.141066	-49995.852327	49993.289454	2366.814739	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2457.203568	-49384.859274	-49998.620738	972.618863	49995.619805	-49115.446240	0.679951
8.000000	24	62.169256	54.539628	-54.185614	30.330058	-53.987243	0.298227	-25.521104	-0.113216	-0.403394	-0.624352	-0.890195	-0.957758	-0.813336	-0.749400	-0.431966	0.367855	0.935098	2.738547	6.413017	-3.534458	0.389772	-1.816323	-0.104084	0.231340	0.163964	0.121509	151.238203	4.388591	-0.513039	-0.291984	0.162815	-0.044421	-49384.141066	-49995.852327	49993.289454	2363.800573	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2464.832432	-49384.859274	-49998.620738	968.097615	49995.619805	-49115.446240	0.679951
9.000000	24	62.367626	54.544969	-54.277169	30.319376	-54.048280	0.314796	-25.475326	-0.147516	-0.403394	-0.624352	-0.868740	-0.947004	-0.813336	-0.727976	-0.421312	0.367855	0.939257	2.734397	6.413017	-3.508186	0.385573	-1.817170	-0.103247	0.230527	0.162298	0.121509	151.246846	4.389408	-0.515537	-0.292817	0.161142	-0.044421	-49384.141066	-49995.852327	49993.289454	2365.307656	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2455.677795	-49384.859274	-49998.620738	956.040952	49995.619805	-49115.446240	0.679951
10.000000	24	63.637196	54.555651	-54.246651	30.335398	-54.048280	0.579887	-25.208289	-0.044617	-0.190161	-0.366642	-0.718559	-0.850211	-0.727884	-0.663704	-0.378696	0.380169	0.960056	2.746848	6.766412	-3.271745	0.389772	-1.804467	-0.103247	0.228901	0.163131	0.120662	151.255489	4.387774	-0.514705	-0.294482	0.160305	-0.040276	-49384.141066	-49995.852327	49993.289454	2359.279325	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2455.677795	-49384.859274	-49998.620738	948.505538	49995.619805	-49115.446240	0.679951
11.000000	24	64.331492	54.555651	-54.246651	30.335398	-54.017762	0.778705	-24.956511	0.229781	-0.019574	-0.280738	-0.611286	-0.742664	-0.653114	-0.631568	-0.314772	0.404798	0.972535	2.742698	6.943109	-3.035304	0.387673	-1.794304	-0.104921	0.230527	0.164797	0.120662	151.428346	4.387774	-0.513872	-0.291984	0.161142	-0.044421	-49384.141066	-49995.852327	49993.289454	2348.729745	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2457.203568	-49384.859274	-49998.620738	943.984289	49995.619805	-49115.446240	0.679951
12.000000	24	65.005951	54.571673	-54.231391	30.340739	-54.002503	0.994092	-24.697104	0.366980	0.108365	-0.130407	-0.461104	-0.678136	-0.589025	-0.545872	-0.272156	0.421217	0.976694	2.755149	7.296503	-2.720049	0.387673	-1.783294	-0.104084	0.228901	0.162298	0.121509	151.557988	4.386957	-0.516370	-0.291984	0.164488	-0.042763	-49384.141066	-49995.852327	49993.289454	2350.236828	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2457.203568	-49384.859274	-49998.620738	942.477206	49995.619805	-49115.446240	0.679951
