Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun043.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	43	9.720145	26.233711	-54.017762	14.030122	-53.895688	0.132546	-9.437849	0.000000	-0.021323	-0.042952	0.107273	0.193585	0.053407	-0.149968	0.330274	0.061571	0.120631	0.033204	0.403880	-1.103392	0.111283	0.181234	0.076987	0.121952	0.001666	0.193091	111.403801	0.473620	0.068294	1.002752	0.336809	0.143450	-4683.828104	217.810016	282.878873	-49383.823169	-49384.314727	-49997.077101	373.084230	200.263635	239.375949	298.318378	270.106321	310.089484	262.123477	292.003709	606.562542	228.859943	257.125724	0.000000
1.000000	43	9.700308	26.228370	-54.048280	14.019440	-53.880428	0.165682	-9.445479	-0.068600	-0.042647	-0.042952	0.096545	0.225849	0.085452	-0.139256	0.340928	0.061571	0.120631	0.037355	0.429122	-1.182206	0.111283	0.182081	0.074477	0.120326	0.002499	0.192244	111.403801	0.473620	0.069127	1.001086	0.334300	0.142620	-4680.813938	220.861562	287.456191	-49383.823169	-49384.314727	-49997.077101	371.558458	203.315181	242.390114	305.947243	267.092156	313.141030	262.123477	298.106801	612.590874	224.282624	261.622373	0.000000
2.000000	43	9.720145	26.217689	-54.063540	14.040803	-53.895688	0.165682	-9.430219	0.000000	-0.042647	-0.064428	0.107273	0.236604	0.085452	-0.149968	0.340928	0.061571	0.124790	0.037355	0.454364	-1.103392	0.111283	0.182928	0.076987	0.118700	0.000833	0.191397	111.412444	0.471986	0.067461	1.001086	0.335136	0.141791	-4700.406015	217.810016	284.404646	-49383.823169	-49384.314727	-49997.077101	374.610003	201.789408	242.390114	302.895697	270.106321	313.141030	265.137643	292.003709	609.576708	225.808397	258.624607	0.000000
3.000000	43	9.700308	26.233711	-54.033021	14.024781	-53.880428	0.132546	-9.430219	-0.068600	-0.021323	-0.042952	0.096545	0.215094	0.053407	-0.149968	0.362236	0.061571	0.116471	0.037355	0.454364	-1.077121	0.111283	0.181234	0.076150	0.120326	0.000833	0.192244	111.412444	0.473620	0.068294	1.002752	0.335136	0.143450	-4689.856435	217.810016	279.827327	-49383.823169	-49384.314727	-49997.077101	373.084230	203.315181	236.361783	304.421470	267.092156	319.244121	268.151808	295.055255	608.069625	227.334170	255.626841	0.000000
4.000000	43	9.700308	26.212348	-54.017762	14.035463	-53.865169	0.132546	-9.445479	0.000000	-0.042647	-0.042952	0.118000	0.215094	0.064089	-0.160680	0.340928	0.069781	0.120631	0.029054	0.479607	-1.129664	0.104984	0.182928	0.073640	0.121139	0.003333	0.191397	111.429730	0.471986	0.070792	1.001919	0.333463	0.143450	-4712.462678	219.335789	282.878873	-49383.823169	-49384.314727	-49997.077101	374.610003	206.366727	243.897197	301.369924	270.106321	314.666803	263.630560	292.003709	612.590874	225.808397	257.125724	0.000000
5.000000	43	9.700308	26.233711	-54.017762	14.030122	-53.895688	0.132546	-9.430219	-0.068600	0.000000	-0.021476	0.085818	0.215094	0.053407	-0.160680	0.330274	0.065676	0.124790	0.029054	0.454364	-1.024579	0.109183	0.183775	0.076150	0.120326	0.002499	0.190550	111.403801	0.470352	0.069127	1.002752	0.335136	0.143450	-4709.448513	213.232697	284.404646	-49383.823169	-49384.314727	-49997.077101	371.558458	201.789408	243.897197	301.369924	265.585073	307.037938	268.151808	295.055255	609.576708	222.756851	260.123490	0.000000
6.000000	43	9.700308	26.217689	-54.002503	14.030122	-53.880428	0.149114	-9.437849	0.034300	-0.042647	0.000000	0.107273	0.182830	0.053407	-0.139256	0.351582	0.061571	0.120631	0.024903	0.479607	-1.182206	0.109183	0.182928	0.075314	0.121139	0.000833	0.191397	111.395158	0.471169	0.069127	0.999420	0.332627	0.142620	-4694.377684	216.284243	278.301554	-49383.823169	-49384.314727	-49997.077101	371.558458	200.263635	246.911363	301.369924	270.106321	310.089484	256.095145	295.055255	608.069625	224.282624	251.130193	0.000000
7.000000	43	9.660634	26.233711	-54.033021	14.030122	-53.834651	0.149114	-9.445479	-0.068600	0.000000	-0.064428	0.096545	0.193585	0.074770	-0.160680	0.351582	0.065676	0.124790	0.029054	0.454364	-1.129664	0.111283	0.183775	0.076987	0.121139	0.001666	0.192244	111.403801	0.472803	0.069127	1.001086	0.334300	0.141791	-4665.743110	213.232697	285.930418	-49383.823169	-49384.314727	-49997.077101	371.558458	201.789408	240.883031	301.369924	267.092156	294.831755	265.137643	299.632574	609.576708	225.808397	257.125724	0.000000
